,Image diagonal [pixels],Image size [pixels],Target image,Source image,Target landmarks,Source landmarks
81,39449.5,"(11782, 37649)",mammary-gland_2/scale-100pc/s2_61-HE_A4926-4L.png,mammary-gland_2/scale-100pc/s2_63-HE_A4926-4L.png,mammary-gland_2/scale-100pc/s2_61-HE_A4926-4L.csv,mammary-gland_2/scale-100pc/s2_63-HE_A4926-4L.csv
82,39449.5,"(11782, 37649)",mammary-gland_2/scale-100pc/s2_61-HE_A4926-4L.png,mammary-gland_2/scale-100pc/s2_64-PR_A4926-4L.png,mammary-gland_2/scale-100pc/s2_61-HE_A4926-4L.csv,mammary-gland_2/scale-100pc/s2_64-PR_A4926-4L.csv
83,39449.5,"(11782, 37649)",mammary-gland_2/scale-100pc/s2_61-HE_A4926-4L.png,mammary-gland_2/scale-100pc/s2_66-CNEU_A4926-4L.png,mammary-gland_2/scale-100pc/s2_61-HE_A4926-4L.csv,mammary-gland_2/scale-100pc/s2_66-CNEU_A4926-4L.csv
84,39449.5,"(11782, 37649)",mammary-gland_2/scale-100pc/s2_61-HE_A4926-4L.png,mammary-gland_2/scale-100pc/s2_67-HE_A4926-4L.png,mammary-gland_2/scale-100pc/s2_61-HE_A4926-4L.csv,mammary-gland_2/scale-100pc/s2_67-HE_A4926-4L.csv
85,39449.5,"(11782, 37649)",mammary-gland_2/scale-100pc/s2_61-HE_A4926-4L.png,mammary-gland_2/scale-100pc/s2_68-ER-A4962-4L.png,mammary-gland_2/scale-100pc/s2_61-HE_A4926-4L.csv,mammary-gland_2/scale-100pc/s2_68-ER-A4962-4L.csv
86,39449.5,"(11782, 37649)",mammary-gland_2/scale-100pc/s2_61-HE_A4926-4L.png,mammary-gland_2/scale-100pc/s2_70-PR_A4926-4L.png,mammary-gland_2/scale-100pc/s2_61-HE_A4926-4L.csv,mammary-gland_2/scale-100pc/s2_70-PR_A4926-4L.csv
87,33255.2,"(8933, 32033)",mammary-gland_2/scale-100pc/s2_62-ER_A4926-4L.png,mammary-gland_2/scale-100pc/s2_63-HE_A4926-4L.png,mammary-gland_2/scale-100pc/s2_62-ER_A4926-4L.csv,mammary-gland_2/scale-100pc/s2_63-HE_A4926-4L.csv
88,33255.2,"(8933, 32033)",mammary-gland_2/scale-100pc/s2_62-ER_A4926-4L.png,mammary-gland_2/scale-100pc/s2_64-PR_A4926-4L.png,mammary-gland_2/scale-100pc/s2_62-ER_A4926-4L.csv,mammary-gland_2/scale-100pc/s2_64-PR_A4926-4L.csv
89,33255.2,"(8933, 32033)",mammary-gland_2/scale-100pc/s2_62-ER_A4926-4L.png,mammary-gland_2/scale-100pc/s2_66-CNEU_A4926-4L.png,mammary-gland_2/scale-100pc/s2_62-ER_A4926-4L.csv,mammary-gland_2/scale-100pc/s2_66-CNEU_A4926-4L.csv
90,33255.2,"(8933, 32033)",mammary-gland_2/scale-100pc/s2_62-ER_A4926-4L.png,mammary-gland_2/scale-100pc/s2_67-HE_A4926-4L.png,mammary-gland_2/scale-100pc/s2_62-ER_A4926-4L.csv,mammary-gland_2/scale-100pc/s2_67-HE_A4926-4L.csv
91,33255.2,"(8933, 32033)",mammary-gland_2/scale-100pc/s2_62-ER_A4926-4L.png,mammary-gland_2/scale-100pc/s2_68-ER-A4962-4L.png,mammary-gland_2/scale-100pc/s2_62-ER_A4926-4L.csv,mammary-gland_2/scale-100pc/s2_68-ER-A4962-4L.csv
92,33255.2,"(8933, 32033)",mammary-gland_2/scale-100pc/s2_62-ER_A4926-4L.png,mammary-gland_2/scale-100pc/s2_70-PR_A4926-4L.png,mammary-gland_2/scale-100pc/s2_62-ER_A4926-4L.csv,mammary-gland_2/scale-100pc/s2_70-PR_A4926-4L.csv
93,39037.5,"(10319, 37649)",mammary-gland_2/scale-100pc/s2_63-HE_A4926-4L.png,mammary-gland_2/scale-100pc/s2_64-PR_A4926-4L.png,mammary-gland_2/scale-100pc/s2_63-HE_A4926-4L.csv,mammary-gland_2/scale-100pc/s2_64-PR_A4926-4L.csv
94,39037.5,"(10319, 37649)",mammary-gland_2/scale-100pc/s2_63-HE_A4926-4L.png,mammary-gland_2/scale-100pc/s2_66-CNEU_A4926-4L.png,mammary-gland_2/scale-100pc/s2_63-HE_A4926-4L.csv,mammary-gland_2/scale-100pc/s2_66-CNEU_A4926-4L.csv
95,39037.5,"(10319, 37649)",mammary-gland_2/scale-100pc/s2_63-HE_A4926-4L.png,mammary-gland_2/scale-100pc/s2_67-HE_A4926-4L.png,mammary-gland_2/scale-100pc/s2_63-HE_A4926-4L.csv,mammary-gland_2/scale-100pc/s2_67-HE_A4926-4L.csv
96,39037.5,"(10319, 37649)",mammary-gland_2/scale-100pc/s2_63-HE_A4926-4L.png,mammary-gland_2/scale-100pc/s2_68-ER-A4962-4L.png,mammary-gland_2/scale-100pc/s2_63-HE_A4926-4L.csv,mammary-gland_2/scale-100pc/s2_68-ER-A4962-4L.csv
97,39037.5,"(10319, 37649)",mammary-gland_2/scale-100pc/s2_63-HE_A4926-4L.png,mammary-gland_2/scale-100pc/s2_70-PR_A4926-4L.png,mammary-gland_2/scale-100pc/s2_63-HE_A4926-4L.csv,mammary-gland_2/scale-100pc/s2_70-PR_A4926-4L.csv
98,33255.2,"(8933, 32033)",mammary-gland_2/scale-100pc/s2_64-PR_A4926-4L.png,mammary-gland_2/scale-100pc/s2_66-CNEU_A4926-4L.png,mammary-gland_2/scale-100pc/s2_64-PR_A4926-4L.csv,mammary-gland_2/scale-100pc/s2_66-CNEU_A4926-4L.csv
99,33255.2,"(8933, 32033)",mammary-gland_2/scale-100pc/s2_64-PR_A4926-4L.png,mammary-gland_2/scale-100pc/s2_67-HE_A4926-4L.png,mammary-gland_2/scale-100pc/s2_64-PR_A4926-4L.csv,mammary-gland_2/scale-100pc/s2_67-HE_A4926-4L.csv
100,33255.2,"(8933, 32033)",mammary-gland_2/scale-100pc/s2_64-PR_A4926-4L.png,mammary-gland_2/scale-100pc/s2_68-ER-A4962-4L.png,mammary-gland_2/scale-100pc/s2_64-PR_A4926-4L.csv,mammary-gland_2/scale-100pc/s2_68-ER-A4962-4L.csv
101,33255.2,"(8933, 32033)",mammary-gland_2/scale-100pc/s2_64-PR_A4926-4L.png,mammary-gland_2/scale-100pc/s2_70-PR_A4926-4L.png,mammary-gland_2/scale-100pc/s2_64-PR_A4926-4L.csv,mammary-gland_2/scale-100pc/s2_70-PR_A4926-4L.csv
102,39449.5,"(11782, 37649)",mammary-gland_2/scale-100pc/s2_66-CNEU_A4926-4L.png,mammary-gland_2/scale-100pc/s2_67-HE_A4926-4L.png,mammary-gland_2/scale-100pc/s2_66-CNEU_A4926-4L.csv,mammary-gland_2/scale-100pc/s2_67-HE_A4926-4L.csv
103,39449.5,"(11782, 37649)",mammary-gland_2/scale-100pc/s2_66-CNEU_A4926-4L.png,mammary-gland_2/scale-100pc/s2_68-ER-A4962-4L.png,mammary-gland_2/scale-100pc/s2_66-CNEU_A4926-4L.csv,mammary-gland_2/scale-100pc/s2_68-ER-A4962-4L.csv
104,39449.5,"(11782, 37649)",mammary-gland_2/scale-100pc/s2_66-CNEU_A4926-4L.png,mammary-gland_2/scale-100pc/s2_70-PR_A4926-4L.png,mammary-gland_2/scale-100pc/s2_66-CNEU_A4926-4L.csv,mammary-gland_2/scale-100pc/s2_70-PR_A4926-4L.csv
105,39449.5,"(11782, 37649)",mammary-gland_2/scale-100pc/s2_67-HE_A4926-4L.png,mammary-gland_2/scale-100pc/s2_68-ER-A4962-4L.png,mammary-gland_2/scale-100pc/s2_67-HE_A4926-4L.csv,mammary-gland_2/scale-100pc/s2_68-ER-A4962-4L.csv
106,39449.5,"(11782, 37649)",mammary-gland_2/scale-100pc/s2_67-HE_A4926-4L.png,mammary-gland_2/scale-100pc/s2_70-PR_A4926-4L.png,mammary-gland_2/scale-100pc/s2_67-HE_A4926-4L.csv,mammary-gland_2/scale-100pc/s2_70-PR_A4926-4L.csv
107,39449.5,"(11782, 37649)",mammary-gland_2/scale-100pc/s2_68-ER-A4962-4L.png,mammary-gland_2/scale-100pc/s2_70-PR_A4926-4L.png,mammary-gland_2/scale-100pc/s2_68-ER-A4962-4L.csv,mammary-gland_2/scale-100pc/s2_70-PR_A4926-4L.csv
